-- Logs begin at Mon 2022-12-12 19:29:47 UTC, end at Wed 2022-12-14 10:41:50 UTC. --
Dec 14 10:01:47 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Dec 14 10:01:48 ubuntu dstat.sh[83142]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Dec 14 10:01:48 ubuntu dstat.sh[83142]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Dec 14 10:29:46 ubuntu dstat.sh[83142]: 14-12 10:29:46| 25   3  64   6   0|6334M  424M  538M  651M|  39M  844k|  35M  384k|30.3  42.4 |  20k 4211 |1.22 1.54 1.41|1.0 1.0   0|   0     0 |   0     0 | 25  435    0  158    6
Dec 14 10:29:47 ubuntu dstat.sh[83142]: 14-12 10:29:47| 25   2  67   3   0|6308M  429M  559M  651M|  25M  525k|  24M  300k|22.0  29.0 |  11k 3770 |1.20 1.53 1.41|2.0   0   0|   0     0 |   0     0 | 25  435    0  160    6
Dec 14 10:29:48 ubuntu dstat.sh[83142]: 14-12 10:29:48| 17   3  66  10   0|6308M  379M  609M  651M|  54M  961k|  50M  152k|40.0  14.0 |  24k 3517 |1.20 1.53 1.41|1.0   0 2.0|   0     0 |   0     0 | 25  435    0  157    6
Dec 14 10:29:49 ubuntu dstat.sh[83142]: 14-12 10:29:49| 26   7  55   9   0|6311M  326M  659M  651M|  54M 1033k|  50M  204k|41.0  15.0 |  24k 7333 |1.20 1.53 1.41|3.0   0  34|   0     0 |   0     0 | 25  436    0  160    6
Dec 14 10:29:50 ubuntu dstat.sh[83142]: 14-12 10:29:50| 22   3  68   6   0|6344M  257M  694M  651M|  36M  519k|  33M  304k|30.0  28.0 |  12k 3684 |1.20 1.53 1.41|1.0   0   0|   0     0 |   0     0 | 25  435    0  157    6
Dec 14 10:29:51 ubuntu dstat.sh[83142]: 14-12 10:29:51| 24   2  68   3   0|6315M  263M  717M  651M|  24M  415k|  22M  320k|20.0  34.0 |8954  3776 |1.20 1.53 1.41|1.0 1.0   0|   0     0 |   0     0 | 25  433    0  160    6
Dec 14 10:29:52 ubuntu dstat.sh[83142]: 14-12 10:29:52| 23   2  65   9   0|6310M  225M  759M  651M|  48M  883k|  45M  216k|36.0  27.0 |  22k 3836 |1.26 1.53 1.42|2.0   0   0|   0     0 |   0     0 | 25  433    0  158    6
Dec 14 10:29:53 ubuntu dstat.sh[83142]: 14-12 10:29:53| 19   3  63  10   0|6309M  176M  809M  652M|  55M 1375k|  50M  416k|44.0  42.0 |  43k 3785 |1.26 1.53 1.42|3.0   0   0|   0     0 |   0     0 | 25  433    0  163    6
Dec 14 10:29:54 ubuntu dstat.sh[83142]: 14-12 10:29:54| 21   5  64   6   0|6310M  176M  824M  638M|  55M 1326k|  50M  488k|43.0  61.0 |  37k 5087 |1.26 1.53 1.42|1.0   0   0|   0     0 |   0     0 | 25  433    0  156    6
Dec 14 10:29:55 ubuntu dstat.sh[83142]: 14-12 10:29:55| 27   3  66   3   0|6329M  139M  841M  638M|  17M  447k|  15M  263k|14.9  18.9 |9486  3881 |1.26 1.53 1.42|  0 1.0   0|   0     0 |   0     0 | 25  433    0  158    6
Dec 14 10:29:56 ubuntu dstat.sh[83142]: 14-12 10:29:56| 25   5  64   6   0|6313M  197M  819M  618M|  38M  861k|  35M  396k|35.0  44.0 |  21k 4228 |1.26 1.53 1.42|5.0   0   0|   0     0 |   0     0 | 25  433    0  156    6
Dec 14 10:29:57 ubuntu dstat.sh[83142]: 14-12 10:29:57| 27   6  57   9   0|6308M  225M  815M  600M|  54M  955k|  50M  831k|41.0  53.0 |  24k 4173 |1.40 1.56 1.42|1.0   0   0|   0     0 |   0     0 | 25  433    0  156    6
Dec 14 10:29:58 ubuntu dstat.sh[83142]: 14-12 10:29:58| 22   3  61  10   0|6346M  147M  855M  600M|  43M  937k|  39M 8147k|35.0   632 |  20k 3448 |1.40 1.56 1.42|3.0   0 2.0|   0     0 |   0     0 | 25  431    0  154    8
Dec 14 10:29:59 ubuntu dstat.sh[83142]: 14-12 10:29:59| 25   3  66   3   0|6317M  156M  874M  600M|  24M  541k|  21M  220k|20.0  17.0 |  10k 3349 |1.40 1.56 1.42|1.0 1.0   0|   0     0 |   0     0 | 25  431    0  156    8
Dec 14 10:30:00 ubuntu dstat.sh[83142]: 14-12 10:30:00|  7   2  69  21   0|6318M  156M  874M  600M|  51k   33k|8190B  408k|2.00  41.0 |2425  3859 |1.40 1.56 1.42|1.0 1.0   0|   0     0 |   0     0 | 25  431    0  150    8
Dec 14 10:30:01 ubuntu dstat.sh[83142]: 14-12 10:30:01|  5   2  70  23   0|6317M  156M  874M  600M|  29k   22k|   0   192k|   0  22.0 |2018  3398 |1.40 1.56 1.42|  0 1.0   0|   0     0 |   0     0 | 25  431    0  150    8
Dec 14 10:30:02 ubuntu dstat.sh[83142]: 14-12 10:30:02|  5   2  69  23   0|6317M  156M  874M  600M|  32k   24k|4099B  248k|1.00  29.0 |2031  3374 |1.37 1.55 1.42|  0 1.0   0|   0     0 |   0     0 | 25  431    0  149    8
Dec 14 10:30:03 ubuntu dstat.sh[83142]: 14-12 10:30:03|  4   1  70  23   0|6317M  156M  874M  600M|  26k   16k|   0   400k|   0  10.0 |1798  2947 |1.37 1.55 1.42|  0 1.0   0|   0     0 |   0     0 | 25  431    0  149    8
Dec 14 10:30:04 ubuntu dstat.sh[83142]: 14-12 10:30:04|  5   1  68  22   0|6317M  156M  874M  600M|  55k   40k|   0   264k|   0  42.0 |2428  4335 |1.37 1.55 1.42|  0 1.0   0|   0     0 |   0     0 | 25  431    0  148    8
Dec 14 10:30:05 ubuntu dstat.sh[83142]: 14-12 10:30:05|  6   1  71  23   0|6317M  156M  874M  600M|  28k   18k|   0    88k|   0  7.00 |2088  3034 |1.37 1.55 1.42|1.0 1.0   0|   0     0 |   0     0 | 25  431    0  148    8
Dec 14 10:30:06 ubuntu dstat.sh[83142]: 14-12 10:30:06|  8   3  66  21   0|6317M  155M  875M  601M|  40k   34k| 244k 1820k|61.0   419 |4205  7553 |1.37 1.55 1.42|  0 1.0   0|   0     0 |   0     0 | 25  431    0  148    8
Dec 14 10:30:07 ubuntu dstat.sh[83142]: 14-12 10:30:07|  8   5  61  23   0|6332M  138M  875M  603M|  42k   31k|2178k  140k|62.0  16.0 |2710  4472 |1.34 1.54 1.42|  0 2.0  44|   0     0 |   0     0 | 25  431    0  148    8
Dec 14 10:30:08 ubuntu dstat.sh[83142]: 14-12 10:30:08|  8   9  57  25   1|6335M  133M  875M  604M|  23k   16k|1765k 1320k|91.3   256 |3427  4594 |1.34 1.54 1.42|  0 3.0 214|   0     0 |   0     0 | 25  431    0  142    7
Dec 14 10:30:09 ubuntu dstat.sh[83142]: 14-12 10:30:09|  5   2  68  24   0|6333M  131M  875M  607M|  23k   16k|   0  7922k|   0   523 |3278  5082 |1.34 1.54 1.42|  0 1.0   0|   0     0 |   0     0 | 25  431    0  142    7
Dec 14 10:30:10 ubuntu dstat.sh[83142]: 14-12 10:30:10|  6   1  70  22   0|6333M  131M  875M  607M|  24k   17k|  12k  284k|2.00  32.0 |1994  3359 |1.34 1.54 1.42|2.0 1.0   0|   0     0 |   0     0 | 25  430    0  138    7
Dec 14 10:30:11 ubuntu dstat.sh[83142]: 14-12 10:30:11|  4   3  69  23   0|6324M  140M  875M  607M|  29k   23k|  20k  208k|3.00  27.0 |2052  3305 |1.34 1.54 1.42|  0 1.0   0|   0     0 |   0     0 | 25  430    0  138    7
Dec 14 10:30:12 ubuntu dstat.sh[83142]: 14-12 10:30:12|  7   2  68  22   0|6324M  140M  875M  607M|  36k   29k|  16k 1060k|4.00  57.0 |2242  3427 |1.31 1.53 1.42|5.0 1.0   0|   0     0 |   0     0 | 25  431    0  135    7
Dec 14 10:30:13 ubuntu dstat.sh[83142]: 14-12 10:30:13| 21  10  55  10   0|6333M  149M  869M  596M|  44M  858k|  41M  140k|65.1  10.0 |  24k 4960 |1.31 1.53 1.42|9.0   0 107|   0     0 |   0     0 | 24  431    0  135    7
Dec 14 10:30:14 ubuntu dstat.sh[83142]: 14-12 10:30:14| 30   9  54   6   0|6287M  205M  866M  590M|  25M  595k|  23M 2877k|40.1   410 |  12k 6542 |1.31 1.53 1.42|2.0   0 213|   0     0 |   0     0 | 24  431    0  134    7
Dec 14 10:30:15 ubuntu dstat.sh[83142]: 14-12 10:30:15| 25   9  64   2   0|6324M  978M   58M  590M|4787k 4782k| 400k 2728k|12.0  60.0 |3094  4274 |1.31 1.53 1.42|3.0   0  40|   0     0 |   0     0 | 24  431    0  138    7
Dec 14 10:30:16 ubuntu dstat.sh[83142]: 14-12 10:30:16| 16   6  74   1   0|6286M 1016M   58M  590M|  91k   77k|4082B  311k|      33.9 |3554  5708 |1.31 1.53 1.42|  0   0  56|   0     0 |   0     0 | 24  431    0  136    7
Dec 14 10:30:17 ubuntu dstat.sh[83142]: 14-12 10:30:17| 11   3  84   0   0|6286M 1015M   58M  590M| 126k  117k|   0   348k|   0  48.1 |2907  4374 |1.21 1.50 1.41|1.0   0  36|   0     0 |   0     0 | 24  431    0  136    7
Dec 14 10:30:18 ubuntu dstat.sh[83142]: 14-12 10:30:18| 19   8  67   6   0|6286M 1014M   58M  591M| 303k  294k| 441k 1102k|29.0   145 |7593    14k|1.21 1.50 1.41|  0   0  87|   0     0 |   0     0 | 24  431    0  135    7
Dec 14 10:30:19 ubuntu dstat.sh[83142]: 14-12 10:30:19| 28  11  56   3   0|6286M 1013M   58M  591M| 156k  137k| 304k  520k|21.0  55.0 |  18k   38k|1.21 1.50 1.41|  0   0  43|   0     0 |   0     0 | 25  425    0  136    7
Dec 14 10:30:20 ubuntu dstat.sh[83142]: 14-12 10:30:20| 11   6  81   0   0|6288M 1010M   58M  591M|  70k   48k|  64k  171k|3.99  21.9 |9069    17k|1.21 1.50 1.41|  0   0  40|   0     0 |   0     0 | 25  424    0  132    7
Dec 14 10:30:21 ubuntu dstat.sh[83142]: 14-12 10:30:21|  7   4  87   0   0|6287M 1010M   58M  592M|  37k   28k|8192B  248k|1.00  31.0 |2680  4194 |1.21 1.50 1.41|1.0 1.0  45|   0     0 |   0     0 | 25  424    0  132    7
Dec 14 10:30:22 ubuntu dstat.sh[83142]: 14-12 10:30:22| 10   7  81   1   0|6289M 1007M   58M  594M|1152k   60k|2045k  180k|74.0  23.0 |3949  5543 |1.11 1.48 1.40|  0   0  76|   0     0 |   0     0 | 25  424    0  129    7
Dec 14 10:30:23 ubuntu dstat.sh[83142]: 14-12 10:30:23| 10   5  83   0   0|6302M  993M   58M  594M|  36k   21k|  16k   40k|2.00  10.0 |2277  3314 |1.11 1.48 1.40|3.0   0  39|   0     0 |   0     0 | 25  422    0  132    9
Dec 14 10:30:24 ubuntu dstat.sh[83142]: 14-12 10:30:24| 27   8  65   1   0|6338M  926M   88M  595M| 232k  223k|8195B  544k|2.00  62.0 |3890  6474 |1.11 1.48 1.40|1.0   0  61|   0     0 |   0     0 | 25  428    0  133    9
Dec 14 10:30:25 ubuntu dstat.sh[83142]: 14-12 10:30:25| 10   6  65  15   0|6293M  899M  158M  595M|1714k   83M|   0    50M|   0  16.0 |  13k 5130 |1.11 1.48 1.40|1.0 1.0  36|   0     0 |   0     0 | 25  428    0  134    9
Dec 14 10:30:26 ubuntu dstat.sh[83142]: 14-12 10:30:26| 18   6  62  13   0|6278M  862M  208M  595M|1727k   75M|  64k  100M|1.00  44.0 |  14k 9297 |1.11 1.48 1.40|1.0   0  36|   0     0 |   0     0 | 25  428    0  134    9
Dec 14 10:30:27 ubuntu dstat.sh[83142]: 14-12 10:30:27| 17  10  62  10   0|6279M  758M  308M  596M|1178k   55M| 116k   50M|2.00  38.0 |  10k 7656 |1.10 1.47 1.40|  0 1.0  39|   0     0 |   0     0 | 25  428    0  135    9
Dec 14 10:30:28 ubuntu dstat.sh[83142]: 14-12 10:30:28| 12   6  62  16   0|6279M  707M  358M  596M|1786k   86M|  56k   76M|2.01  19.1 |  13k 6534 |1.10 1.47 1.40|2.0   0  43|   0     0 |   0     0 | 25  428    0   86    9
Dec 14 10:30:29 ubuntu dstat.sh[83142]: 14-12 10:30:29| 17   8  61  10   0|6299M  635M  408M  596M|1592k   70M|   0    75M|   0  81.0 |  12k 7076 |1.10 1.47 1.40|2.0 1.0  38|   0     0 |   0     0 | 25  428    0   88    9
Dec 14 10:30:30 ubuntu dstat.sh[83142]: 14-12 10:30:30| 13   8  63  13   0|6274M  557M  508M  596M|1482k   71M|8166B   56M|1.99   609 |  14k 7528 |1.10 1.47 1.40|1.0 1.0  36|   0     0 |   0     0 | 25  428    0   89    9
Dec 14 10:30:31 ubuntu dstat.sh[83142]: 14-12 10:30:31| 15   6  64  12   0|6274M  506M  558M  596M|1513k   72M|   0    82M|   0  37.0 |  12k 7982 |1.10 1.47 1.40|1.0 1.0  36|   0     0 |   0     0 | 25  428    0   89    9
Dec 14 10:30:32 ubuntu dstat.sh[83142]: 14-12 10:30:32| 15   7  64  13   0|6302M  426M  608M  596M|1585k   68M|   0    68M|   0  37.1 |  11k 7655 |1.09 1.46 1.40|1.0   0  36|   0     0 |   0     0 | 25  428    0   91    9
Dec 14 10:30:33 ubuntu dstat.sh[83142]: 14-12 10:30:33| 12   8  64  12   0|6274M  352M  708M  596M|1419k   67M|4083B   50M|1.00  15.9 |  11k 5346 |1.09 1.46 1.40|3.0 1.0  36|   0     0 |   0     0 | 25  428    0   92    9
Dec 14 10:30:34 ubuntu dstat.sh[83142]: 14-12 10:30:34| 19  10  54  15   0|6270M  304M  759M  596M|1623k   76M| 168k   51M|8.01  60.1 |  14k 7427 |1.09 1.46 1.40|1.0 1.0  88|   0     0 |   0     0 | 25  430    0   94    9
Dec 14 10:30:35 ubuntu dstat.sh[83142]: 14-12 10:30:35| 30  21  36  11   0|6300M  222M  809M  597M|1785k   68M| 896k  102M| 181   412 |  18k   19k|1.09 1.46 1.40|3.0   0 625|   0     0 |   0     0 | 24  430    0   96    9
Dec 14 10:30:36 ubuntu dstat.sh[83142]: 14-12 10:30:36| 21  23  39  16   0|6277M  210M  857M  583M|1427k   67M|  92k   53M|23.0   492 |  15k   12k|1.09 1.46 1.40|2.0 2.0 530|   0     0 |   0     0 | 24  430    0   97    9
Dec 14 10:30:37 ubuntu dstat.sh[83142]: 14-12 10:30:37| 20  17  40  21   0|6276M  193M  881M  578M|1686k   81M| 415k   84M|23.0   122 |  14k   10k|1.17 1.47 1.40|1.0 1.0 480|   0     0 |   0     0 | 24  430    0   89    9
Dec 14 10:30:38 ubuntu dstat.sh[83142]: 14-12 10:30:38| 22  21  45  10   0|6306M  145M  905M  571M|1466k   63M| 108k   67M|4.01  82.2 |  13k   10k|1.17 1.47 1.40|2.0   0 599|   0     0 |   0     0 | 24  430    0   91    9
Dec 14 10:30:39 ubuntu dstat.sh[83142]: 14-12 10:30:39| 18  22  46  11   0|6277M  168M  924M  557M|1580k   78M|  12k   74M|2.99  89.8 |  15k   11k|1.17 1.47 1.40|2.0 1.0 661|   0     0 |   0     0 | 24  431    0   90    9
Dec 14 10:30:40 ubuntu dstat.sh[83142]: 14-12 10:30:40| 22  26  43   8   1|6300M 1036M   57M  558M|1136k   46k|1646k 1426k|81.1   120 |5503  9085 |1.17 1.47 1.40|2.0   0 650|   0     0 |   0     0 | 24  430    0   90    9
Dec 14 10:30:41 ubuntu dstat.sh[83142]: 14-12 10:30:41| 25  23  49   2   0|6276M 1059M   57M  559M|  83k   71k| 108k 1028k|           |5000  9249 |1.17 1.47 1.40|1.0   0 634|   0     0 |   0     0 | 24  430    0   87    9
Dec 14 10:30:42 ubuntu dstat.sh[83142]: 14-12 10:30:42| 19  17  57   5   0|6276M 1059M   57M  559M| 122k  109k| 488k 4406k|24.0   524 |5302  8328 |1.15 1.46 1.40|1.0   0 523|   0     0 |   0     0 | 24  429    0   92    9
Dec 14 10:30:43 ubuntu dstat.sh[83142]: 14-12 10:30:43| 30  13  54   2   0|6278M 1056M   57M  559M| 298k  280k| 112k  849k|8.01  98.1 |  23k   50k|1.15 1.46 1.40|  0   0  77|   0     0 |   0     0 | 25  429    0   84    9
Dec 14 10:30:44 ubuntu dstat.sh[83142]: 14-12 10:30:44| 21   5  71   2   0|6277M 1055M   57M  560M| 252k  246k| 196k 1205k|48.9   190 |6719    13k|1.15 1.46 1.40|2.0   0   0|   0     0 |   0     0 | 25  431    0  125    9
Dec 14 10:30:45 ubuntu dstat.sh[83142]: 14-12 10:30:45| 16  11  67   4   0|6277M 1053M   58M  562M| 237k  227k|1393k 1537k|49.0   184 |5120  8806 |1.15 1.46 1.40|  0   0 232|   0     0 |   0     0 | 25  430    0  133    9
Dec 14 10:30:46 ubuntu dstat.sh[83142]: 14-12 10:30:46| 13   2  82   0   0|6265M 1065M   58M  562M| 220k  201k|4088B  463k|1.00  67.9 |3353  5615 |1.15 1.46 1.40|1.0   0   0|   0     0 |   0     0 | 25  430    0  133    9
Dec 14 10:30:47 ubuntu dstat.sh[83142]: 14-12 10:30:47| 14   2  81   1   0|6264M 1066M   58M  562M| 202k  190k|   0   757k|   0   130 |3938  6724 |1.06 1.44 1.39|1.0   0   0|   0     0 |   0     0 | 25  430    0  129    9
Dec 14 10:30:48 ubuntu dstat.sh[83142]: 14-12 10:30:48| 31   4  63   1   0|6264M 1065M   58M  562M| 563k  558k|   0  1209k|   0   208 |5266  9895 |1.06 1.44 1.39|3.0   0 2.0|   0     0 |   0     0 | 25  430    0  133    9
Dec 14 10:30:49 ubuntu dstat.sh[83142]: 14-12 10:30:49| 26   5  63   0   0|6264M 1066M   58M  562M| 412k  407k|   0   823k|   0   131 |4786  9247 |1.06 1.44 1.39|  0   0  34|   0     0 |   0     0 | 25  430    0  131    9
Dec 14 10:30:50 ubuntu dstat.sh[83142]: 14-12 10:30:50| 14   5  79   2   0|6264M 1065M   58M  562M| 273k  264k|4106B  758k|1.00   136 |3441  5841 |1.06 1.44 1.39|1.0   0 7.0|   0     0 |   0     0 | 25  424    0  134    9
Dec 14 10:30:51 ubuntu dstat.sh[83142]: 14-12 10:30:51| 13   1  84   0   0|6264M 1065M   58M  563M|  83k   61k|   0   183k|   0  22.9 |2658  4116 |1.06 1.44 1.39|  0   0   0|   0     0 |   0     0 | 25  424    0  131    9
Dec 14 10:30:52 ubuntu dstat.sh[83142]: 14-12 10:30:52|  6   2  90   0   0|6264M 1065M   58M  563M|  48k   41k|   0   116k|   0  12.0 |2168  3563 |1.14 1.45 1.39|  0   0 4.0|   0     0 |   0     0 | 25  423    0  131    9
Dec 14 10:30:53 ubuntu dstat.sh[83142]: 14-12 10:30:53|  6   3  89   0   1|6265M 1064M   58M  563M|  28k   21k|   0  8200B|   0  2.00 |2193  3547 |1.14 1.45 1.39|  0   0 8.0|   0     0 |   0     0 | 25  424    0  126    9
Dec 14 10:30:54 ubuntu dstat.sh[83142]: 14-12 10:30:54|  9   7  82   1   0|6270M 1056M   58M  565M|1201k   73k|1798k  308k|72.9  37.0 |4074  5953 |1.14 1.45 1.39|  0   0  44|   0     0 |   0     0 | 25  426    0  126    9
Dec 14 10:30:55 ubuntu dstat.sh[83142]: 14-12 10:30:55| 18   5  76   0   0|6306M 1021M   58M  565M|  23k   16k|   0     0 |   0     0 |2215  3074 |1.14 1.45 1.39|1.0   0 4.0|   0     0 |   0     0 | 25  426    0  124    9
Dec 14 10:30:56 ubuntu dstat.sh[83142]: 14-12 10:30:56| 16   5  62  11   0|6319M  956M  109M  565M|  56M 1065k|  51M  557k|47.1  77.1 |  24k 5638 |1.14 1.45 1.39|1.0   0   0|   0     0 |   0     0 | 25  428    0  130    9
Dec 14 10:30:57 ubuntu dstat.sh[83142]: 14-12 10:30:57| 21   5  63   9   0|6314M  911M  159M  565M|  54M 1004k|  50M  203k|42.9  22.9 |  21k 4166 |1.12 1.44 1.39|1.0   0   0|   0     0 |   0     0 | 25  428    0  129    9
Dec 14 10:30:58 ubuntu dstat.sh[83142]: 14-12 10:30:58| 27   3  65   4   0|6333M  873M  179M  565M|  20M  538k|  18M  410k|18.1  54.2 |  13k 4375 |1.12 1.44 1.39|1.0 1.0 2.0|   0     0 |   0     0 | 25  428    0  131    9
Dec 14 10:30:59 ubuntu dstat.sh[83142]: 14-12 10:30:59| 24   3  63   5   0|6320M  855M  209M  565M|  35M  846k|  32M   60k|25.9  6.97 |  24k 3317 |1.12 1.44 1.39|3.0   0   0|   0     0 |   0     0 | 25  429    0  129    8
Dec 14 10:31:00 ubuntu dstat.sh[83142]: 14-12 10:31:00| 24   5  61   9   0|6321M  804M  259M  565M|  55M 1180k|  50M  476k|46.0  48.0 |  30k 4564 |1.12 1.44 1.39|2.0   0   0|   0     0 |   0     0 | 25  428    0  131    8
Dec 14 10:31:01 ubuntu dstat.sh[83142]: 14-12 10:31:01| 20   4  62   9   0|6328M  746M  309M  565M|  54M 1032k|  50M  272k|44.0  30.0 |  23k 4287 |1.12 1.44 1.39|9.0   0   0|   0     0 |   0     0 | 25  428    0  131    8
Dec 14 10:31:02 ubuntu dstat.sh[83142]: 14-12 10:31:02| 24   4  61   8   0|6356M  674M  353M  565M|  46M  908k|  41M  208k|36.0  25.0 |  20k 3794 |1.11 1.43 1.39|1.0 1.0   0|   0     0 |   0     0 | 25  428    0  133    8
Dec 14 10:31:03 ubuntu dstat.sh[83142]: 14-12 10:31:03| 24   3  67   5   0|6333M  670M  381M  565M|  30M  666k|  28M  120k|25.0  9.02 |  14k 3465 |1.11 1.43 1.39|  0 1.0   0|   0     0 |   0     0 | 25  428    0  135    8
Dec 14 10:31:04 ubuntu dstat.sh[83142]: 14-12 10:31:04| 24   2  66   3   0|6312M  662M  409M  565M|  33M  775k|  31M  324k|25.0  51.9 |  24k 4563 |1.11 1.43 1.39|1.0   0   0|   0     0 |   0     0 | 25  428    0  135    8
Dec 14 10:31:05 ubuntu dstat.sh[83142]: 14-12 10:31:05| 20   3  65  10   0|6312M  612M  459M  566M|  55M 1218k|  50M  108k|42.0  10.0 |  28k 4382 |1.11 1.43 1.39|1.0   0   0|   0     0 |   0     0 | 25  428    0  137    8
Dec 14 10:31:06 ubuntu dstat.sh[83142]: 14-12 10:31:06| 21   4  65   6   0|6354M  526M  503M  566M|  46M  978k|  41M  336k|37.0  40.0 |  21k 4337 |1.11 1.43 1.39|  0 1.0   0|   0     0 |   0     0 | 25  428    0  139    8
Dec 14 10:31:07 ubuntu dstat.sh[83142]: 14-12 10:31:07| 30   4  60   5   0|6320M  546M  517M  566M|  15M  425k|  15M 2320k| 113   554 |  11k 9089 |1.10 1.43 1.39|1.0   0   0|   0     0 |   0     0 | 25  428    0  141    8
Dec 14 10:31:08 ubuntu dstat.sh[83142]: 14-12 10:31:08| 19   2  67   9   0|6314M  509M  560M  566M|  47M  761k|  44M  112k|35.0  14.0 |  20k 3942 |1.10 1.43 1.39|2.0   0 2.0|   0     0 |   0     0 | 25  428    0  141    8
Dec 14 10:31:09 ubuntu dstat.sh[83142]: 14-12 10:31:09| 18   4  64  10   0|6314M  458M  610M  566M|  55M 1058k|  50M  116k|43.0  10.0 |  23k 3535 |1.10 1.43 1.39|1.0   0   0|   0     0 |   0     0 | 25  428    0  143    8
Dec 14 10:31:10 ubuntu dstat.sh[83142]: 14-12 10:31:10| 16   3  65  11   0|6315M  408M  660M  566M|  54M 1029k|  50M  188k|43.0  15.0 |  22k 3679 |1.10 1.43 1.39|1.0   0   0|   0     0 |   0     0 | 25  428    0  145    8
Dec 14 10:31:11 ubuntu dstat.sh[83142]: 14-12 10:31:11| 24   4  63   7   0|6349M  337M  696M  566M|  38M  801k|  34M  937k|31.0  43.0 |  17k 3920 |1.10 1.43 1.39|  0 1.0   0|   0     0 |   0     0 | 25  428    0  147    8
Dec 14 10:31:12 ubuntu dstat.sh[83142]: 14-12 10:31:12| 25   4  62   8   0|6333M  317M  732M  566M|  39M  800k|  36M 9817k|37.1   764 |  18k 4365 |1.10 1.42 1.38|  0 1.0   0|   0     0 |   0     0 | 25  428    0  154    8
Dec 14 10:31:13 ubuntu dstat.sh[83142]: 14-12 10:31:13| 22   2  69   4   0|6310M  312M  760M  566M|  32M  598k|  30M  120k|26.9  8.97 |  13k 3541 |1.10 1.42 1.38|1.0   0   0|   0     0 |   0     0 | 25  428    0  156    8
Dec 14 10:31:14 ubuntu dstat.sh[83142]: 14-12 10:31:14| 20   4  66   7   1|6312M  260M  810M  566M|  54M  968k|  50M  264k|40.0  39.0 |  24k 4268 |1.10 1.42 1.38|1.0   0   0|   0     0 |   0     0 | 25  428    0  152    8
Dec 14 10:31:15 ubuntu dstat.sh[83142]: 14-12 10:31:15| 20   4  63   9   0|6312M  210M  860M  566M|  55M 1148k|  50M  124k|43.0  10.0 |  22k 4318 |1.10 1.42 1.38|3.0   0   0|   0     0 |   0     0 | 25  426    0  155   10
Dec 14 10:31:16 ubuntu dstat.sh[83142]: 14-12 10:31:16| 23   3  67   6   0|6342M  146M  892M  566M|  34M  728k|  30M  264k|27.0  34.0 |  15k 4200 |1.10 1.42 1.38|  0 1.0   0|   0     0 |   0     0 | 25  426    0  149   10
Dec 14 10:31:17 ubuntu dstat.sh[83142]: 14-12 10:31:17| 24   4  65   5   0|6321M  176M  892M  560M|  28M  691k|  26M 1167k|25.0  61.0 |  17k 4143 |1.09 1.41 1.38|  0 1.0   0|   0     0 |   0     0 | 25  426    0  151   10
Dec 14 10:31:18 ubuntu dstat.sh[83142]: 14-12 10:31:18| 21   4  68   6   0|6314M  184M  900M  552M|  46M  586k|  44M  164k|35.0  11.0 |  15k 4176 |1.09 1.41 1.38|1.0   0 3.0|   0     0 |   0     0 | 25  426    0  150   10
Dec 14 10:31:19 ubuntu dstat.sh[83142]: 14-12 10:31:19| 20   5  62   9   0|6313M  174M  917M  545M|  54M 1043k|  50M  192k|42.9  16.0 |  23k 4024 |1.09 1.41 1.38|1.0   0   0|   0     0 |   0     0 | 25  426    0  152   10
Dec 14 10:31:20 ubuntu dstat.sh[83142]: 14-12 10:31:20| 19   5  62   8   0|6315M  183M  917M  536M|  55M 1167k|  50M  112k|43.1  9.02 |  27k 3546 |1.09 1.41 1.38|1.0   0   0|   0     0 |   0     0 | 25  426    0  152   10
Dec 14 10:31:21 ubuntu dstat.sh[83142]: 14-12 10:31:21| 23   2  67   5   1|6287M  189M  939M  536M|  25M  529k|  23M  207k|21.9  20.9 |  11k 3723 |1.09 1.41 1.38|1.0   0   0|   0     0 |   0     0 | 25  426    0  154   10
Dec 14 10:31:22 ubuntu dstat.sh[83142]: 14-12 10:31:22| 23   8  67   1   0|6278M 1083M   55M  536M|4900k 4893k| 169k 2780k|16.0  66.2 |3021  4936 |1.16 1.42 1.38|4.0   0 2.0|   0     0 |   0     0 | 25  426    0  160   10
Dec 14 10:31:23 ubuntu dstat.sh[83142]: 14-12 10:31:23| 21   7  70   0   0|6264M 1097M   55M  536M|  72k   62k| 300k  168k|      21.0 |3127  4964 |1.16 1.42 1.38|  0   0  26|   0     0 |   0     0 | 25  426    0  165   10
Dec 14 10:31:24 ubuntu dstat.sh[83142]: 14-12 10:31:24| 13   3  82   1   0|6263M 1097M   55M  536M| 170k  156k|   0   497k|   0  66.2 |3249  5174 |1.16 1.42 1.38|2.0   0   0|   0     0 |   0     0 | 25  426    0  162    9
Dec 14 10:31:25 ubuntu dstat.sh[83142]: 14-12 10:31:25| 20   6  70   2   0|6262M 1096M   56M  538M| 263k  255k| 323k 1507k|66.8   239 |5144  8885 |1.16 1.42 1.38|  0   0   0|   0     0 |   0     0 | 25  427    0  211    9
