-- Logs begin at Sat 2023-08-05 00:30:40 UTC, end at Sat 2023-08-05 02:02:27 UTC. --
Aug 05 01:25:59 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Aug 05 01:25:59 ubuntu dstat.sh[106609]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Aug 05 01:25:59 ubuntu dstat.sh[106609]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Aug 05 01:40:50 ubuntu dstat.sh[106609]: 05-08 01:40:50| 27   6  66   0   0|4844M  433M  203M 2356M|  21k 7246 |   0  4104B|   0  1.00 |2174  4443 |1.41 1.55 1.33|1.0   0 2.0|   0     0 |   0     0 | 25  286    0   24    3
Aug 05 01:40:51 ubuntu dstat.sh[106609]: 05-08 01:40:51| 24   5  69   0   0|4845M  433M  203M 2356M|  36k   26k|   0   460k|   0  37.0 |2194  3364 |1.41 1.55 1.33|1.0   0   0|   0     0 |   0     0 | 25  285    0   24    3
Aug 05 01:40:52 ubuntu dstat.sh[106609]: 05-08 01:40:52| 25   6  70   0   0|4845M  433M  203M 2356M|  20k   12k|   0   427k|   0  39.9 |2272  3528 |1.41 1.55 1.33|2.0   0   0|   0     0 |   0     0 | 25  285    0   24    3
Aug 05 01:40:53 ubuntu dstat.sh[106609]: 05-08 01:40:53| 24   5  70   1   0|4845M  432M  203M 2356M|  23k   15k|   0   268k|   0  38.0 |2329  3534 |1.37 1.54 1.33|1.0   0 2.0|   0     0 |   0     0 | 25  285    0   24    3
Aug 05 01:40:54 ubuntu dstat.sh[106609]: 05-08 01:40:54| 22   5  71   0   0|4845M  432M  203M 2356M|  14k 3422 |   0   108k|   0  7.99 |1905  2839 |1.37 1.54 1.33|1.0   0   0|   0     0 |   0     0 | 25  285    0   24    3
Aug 05 01:40:55 ubuntu dstat.sh[106609]: 05-08 01:40:55| 27   7  66   0   0|4846M  431M  203M 2356M|  13k 3329 |   0   168k|   0  17.0 |1857  2631 |1.37 1.54 1.33|3.0   0 1.0|   0     0 |   0     0 | 25  285    0   24    3
Aug 05 01:40:56 ubuntu dstat.sh[106609]: 05-08 01:40:56| 22   7  71   0   0|4846M  431M  203M 2356M|  15k 5388 |   0   388k|   0  23.0 |1826  2615 |1.37 1.54 1.33|3.0   0   0|   0     0 |   0     0 | 25  285    0   24    3
Aug 05 01:40:57 ubuntu dstat.sh[106609]: 05-08 01:40:57| 23   7  68   1   0|4847M  431M  203M 2356M|  26k   15k|   0   332k|   0  39.1 |2297  3386 |1.37 1.54 1.33|1.0   0   0|   0     0 |   0     0 | 25  285    0   24    3
Aug 05 01:40:58 ubuntu dstat.sh[106609]: 05-08 01:40:58| 22   5  71   0   0|4847M  431M  203M 2356M|  11k 1869 |   0     0 |   0     0 |1728  2451 |1.34 1.53 1.32|1.0   0   0|   0     0 |   0     0 | 25  285    0   23    3
Aug 05 01:40:59 ubuntu dstat.sh[106609]: 05-08 01:40:59| 37   9  52   1   0|4864M  413M  204M 2356M|  21k   10k| 133k  165k|10.0  16.1 |2373  3389 |1.34 1.53 1.32|4.0   0 7.0|   0     0 |   0     0 | 25  279    0   23    3
Aug 05 01:41:00 ubuntu dstat.sh[106609]: 05-08 01:41:00| 29   5  65   0   0|4618M  659M  204M 2356M|  13k 4407 |8173B   56k|2.00  5.99 |1790  2718 |1.34 1.53 1.32|1.0   0 1.0|   0     0 |   0     0 | 24  253    0   17    3
Aug 05 01:41:01 ubuntu dstat.sh[106609]: 05-08 01:41:01| 24   4  70   1   0|4639M  637M  204M 2356M|  15k 7964 | 128k  480k|26.0  33.0 |2047  4525 |1.34 1.53 1.32|  0 1.0   0|   0     0 |   0     0 | 24  253    0   17    3
Aug 05 01:41:02 ubuntu dstat.sh[106609]: 05-08 01:41:02| 24   2  70   3   1|4661M  614M  204M 2358M|  21k   12k|1129k 2607k| 130   130 |2735  4625 |1.34 1.53 1.32|2.0   0   0|   0     0 |   0     0 | 24  253    0   17    3
Aug 05 01:41:03 ubuntu dstat.sh[106609]: 05-08 01:41:03| 27   1  69   1   0|4692M  583M  204M 2358M| 809k  801k|   0   504k|   0  55.9 |2422  3742 |1.40 1.54 1.33|2.0   0 2.0|   0     0 |   0     0 | 24  255    0   12    3
Aug 05 01:41:04 ubuntu dstat.sh[106609]: 05-08 01:41:04| 24   3  71   0   0|4751M  524M  204M 2358M|9866  1774 |   0     0 |   0     0 |1776  2638 |1.40 1.54 1.33|1.0   0   0|   0     0 |   0     0 | 24  255    0   12    3
Aug 05 01:41:05 ubuntu dstat.sh[106609]: 05-08 01:41:05| 23   1  68   6   0|4680M  594M  204M 2359M| 111k  101k| 208k 1290k|12.0  91.9 |2621  4330 |1.40 1.54 1.33|  0 1.0   0|   0     0 |   0     0 | 24  255    0   12    3
Aug 05 01:41:06 ubuntu dstat.sh[106609]: 05-08 01:41:06| 32   9  45  12   0|4757M  513M  204M 2362M| 231k  222k| 700k   12M|15.0  1004 |7159    17k|1.40 1.54 1.33|5.0   0 6.0|   0     0 |   0     0 | 25  269    0   19    3
Aug 05 01:41:07 ubuntu dstat.sh[106609]: 05-08 01:41:07| 37   7  53   4   0|4804M  465M  204M 2363M| 555k  538k|  52k  524k|6.00  72.0 |3953    10k|1.40 1.54 1.33|  0   0   0|   0     0 |   0     0 | 25  280    0   19    3
Aug 05 01:41:08 ubuntu dstat.sh[106609]: 05-08 01:41:08|  3   0  94   0   0|4804M  466M  204M 2363M|  11k 1842 |   0     0 |   0     0 |1625  2630 |1.28 1.51 1.32|  0   0   0|   0     0 |   0     0 | 25  280    0   19    3
Aug 05 01:41:09 ubuntu dstat.sh[106609]: 05-08 01:41:09|  3   1  93   0   0|4808M  462M  204M 2363M|  15k 7699 |   0    84k|   0  12.0 |1857  3143 |1.28 1.51 1.32|3.0   0   0|   0     0 |   0     0 | 25  280    0   19    3
Aug 05 01:41:10 ubuntu dstat.sh[106609]: 05-08 01:41:10|  4   2  91   0   0|4804M  466M  204M 2363M|  12k 1620 |   0  4095B|   0  1.00 |1582  2558 |1.28 1.51 1.32|  0   0   0|   0     0 |   0     0 | 25  280    0   19    3
Aug 05 01:41:11 ubuntu dstat.sh[106609]: 05-08 01:41:11|  5   1  91   1   0|4804M  465M  204M 2363M|  21k   13k|   0  1186k|   0  79.9 |2061  3454 |1.28 1.51 1.32|1.0   0   0|   0     0 |   0     0 | 25  281    0   19    3
Aug 05 01:41:12 ubuntu dstat.sh[106609]: 05-08 01:41:12|  5   2  91   1   0|4804M  465M  204M 2363M|  42k   26k|   0   373k|   0  38.1 |2211  3523 |1.28 1.51 1.32|  0   0   0|   0     0 |   0     0 | 25  280    0   19    3
Aug 05 01:41:13 ubuntu dstat.sh[106609]: 05-08 01:41:13|  4   1  93   0   0|4804M  465M  204M 2363M|  25k   15k|   0   268k|   0  37.0 |2255  3510 |1.18 1.49 1.31|1.0   0 2.0|   0     0 |   0     0 | 25  280    0   19    3
Aug 05 01:41:14 ubuntu dstat.sh[106609]: 05-08 01:41:14|  1   1  95   0   0|4804M  465M  204M 2363M|9685  1620 |   0   124k|   0  11.0 |1672  2846 |1.18 1.49 1.31|  0   0   0|   0     0 |   0     0 | 25  280    0   19    3
Aug 05 01:41:15 ubuntu dstat.sh[106609]: 05-08 01:41:15|  3   1  95   0   0|4804M  465M  204M 2363M|  10k 1622 |   0     0 |   0     0 |1637  2681 |1.18 1.49 1.31|  0   0   0|   0     0 |   0     0 | 25  280    0   19    3
Aug 05 01:41:16 ubuntu dstat.sh[106609]: 05-08 01:41:16|  3   2  94   1   0|4808M  462M  204M 2363M|  21k   12k|   0   432k|   0  34.0 |1798  2919 |1.18 1.49 1.31|  0 1.0   0|   0     0 |   0     0 | 25  284    0   19    3
Aug 05 01:41:17 ubuntu dstat.sh[106609]: 05-08 01:41:17| 24   3  71   1   0|4816M  453M  204M 2363M| 359k  342k|  16k 1213k|1.00   140 |3401  5788 |1.18 1.49 1.31|1.0   0 3.0|   0     0 |   0     0 | 25  294    0   19    3
Aug 05 01:41:18 ubuntu dstat.sh[106609]: 05-08 01:41:18| 21   1  75   2   0|4825M  443M  204M 2363M| 265k  258k|  32k    0 |2.00     0 |2058  3107 |1.09 1.46 1.31|  0   0   0|   0     0 |   0     0 | 25  294    0   19    3
Aug 05 01:41:19 ubuntu dstat.sh[106609]: 05-08 01:41:19|  3   1  95   0   0|4826M  443M  204M 2363M|  15k 6150 |   0   100k|   0  12.0 |1770  2911 |1.09 1.46 1.31|  0   0   0|   0     0 |   0     0 | 25  294    0   19    3
Aug 05 01:41:20 ubuntu dstat.sh[106609]: 05-08 01:41:20|  3   1  95   0   0|4826M  443M  204M 2363M|  15k 3257 |   0  4098B|   0  1.00 |1610  2499 |1.09 1.46 1.31|1.0   0   0|   0     0 |   0     0 | 25  294    0   20    3
Aug 05 01:41:21 ubuntu dstat.sh[106609]: 05-08 01:41:21|  3   1  93   0   0|4826M  443M  204M 2363M|  20k   13k|   0   384k|   0  36.0 |1910  3098 |1.09 1.46 1.31|1.0   0   0|   0     0 |   0     0 | 25  294    0   19    3
Aug 05 01:41:22 ubuntu dstat.sh[106609]: 05-08 01:41:22|  3   1  93   0   0|4826M  443M  204M 2363M|  20k   12k|   0   716k|   0   118 |2058  2999 |1.09 1.46 1.31|  0   0   0|   0     0 |   0     0 | 25  294    0   20    3
Aug 05 01:41:23 ubuntu dstat.sh[106609]: 05-08 01:41:23|  5   1  92   1   0|4826M  443M  204M 2363M|  27k   17k|   0   365k|   0  51.1 |2203  3694 |1.00 1.44 1.30|  0   0 2.0|   0     0 |   0     0 | 25  294    0   19    3
Aug 05 01:41:24 ubuntu dstat.sh[106609]: 05-08 01:41:24|  3   1  95   0   0|4826M  443M  204M 2363M|  10k 3467 |   0   128k|   0  11.0 |1747  2801 |1.00 1.44 1.30|  0   0   0|   0     0 |   0     0 | 25  294    0   19    3
Aug 05 01:41:25 ubuntu dstat.sh[106609]: 05-08 01:41:25|  4   1  93   0   0|4836M  432M  204M 2363M|  27k   17k|   0     0 |   0     0 |1570  2513 |1.00 1.44 1.30|  0   0 1.0|   0     0 |   0     0 | 25  296    0   19    3
Aug 05 01:41:26 ubuntu dstat.sh[106609]: 05-08 01:41:26|  3   2  95   0   1|4837M  432M  204M 2363M|  16k 5120 |   0   316k|   0  18.0 |1718  2729 |1.00 1.44 1.30|1.0   0   0|   0     0 |   0     0 | 25  296    0   19    3
Aug 05 01:41:27 ubuntu dstat.sh[106609]: 05-08 01:41:27|  6   2  89   2   0|4837M  432M  204M 2363M|  24k   15k|   0  2333k|   0   178 |2836  4782 |1.00 1.44 1.30|1.0   0   0|   0     0 |   0     0 | 25  296    0   19    3
Aug 05 01:41:28 ubuntu dstat.sh[106609]: 05-08 01:41:28|  3   1  93   0   0|4837M  432M  204M 2363M|  17k   10k|   0   240k|   0  24.0 |1823  2996 |0.92 1.41 1.29|  0   0 2.0|   0     0 |   0     0 | 25  300    0   19    3
Aug 05 01:41:29 ubuntu dstat.sh[106609]: 05-08 01:41:29|  6   7  85   0   1|4840M  429M  204M 2363M|  18k 6088 |   0   240k|   0  21.0 |2630  4474 |0.92 1.41 1.29|1.0   0 167|   0     0 |   0     0 | 25  300    0   18    3
Aug 05 01:41:30 ubuntu dstat.sh[106609]: 05-08 01:41:30| 23  11  65   0   0|4874M  395M  204M 2363M| 111k  100k|   0   156k|   0  7.00 |3459  6580 |0.92 1.41 1.29|2.0   0 185|   0     0 |   0     0 | 25  300    0   20    3
Aug 05 01:41:31 ubuntu dstat.sh[106609]: 05-08 01:41:31| 26   4  69   0   0|4905M  363M  204M 2363M|  85k   75k|   0   268k|   0  25.0 |2365  3481 |0.92 1.41 1.29|4.0   0   0|   0     0 |   0     0 | 25  305    0   20    3
Aug 05 01:41:32 ubuntu dstat.sh[106609]: 05-08 01:41:32| 29   4  65   2   0|4934M  334M  205M 2363M| 383k  363k|  80k 1205k|3.00   158 |3945  7129 |0.92 1.41 1.29|8.0   0 2.0|   0     0 |   0     0 | 25  307    0   20    3
Aug 05 01:41:33 ubuntu dstat.sh[106609]: 05-08 01:41:33| 25   5  68   1   0|4910M  358M  205M 2363M|  72k   62k|  16k  811k|1.00  83.9 |2879  4581 |0.93 1.41 1.29|1.0   0 8.0|   0     0 |   0     0 | 25  305    0   21    3
Aug 05 01:41:34 ubuntu dstat.sh[106609]: 05-08 01:41:34| 24   4  70   0   0|4938M  330M  205M 2363M|  43k   35k|   0   352k|   0  22.0 |2018  2903 |0.93 1.41 1.29|1.0   0   0|   0     0 |   0     0 | 25  307    0   21    3
Aug 05 01:41:35 ubuntu dstat.sh[106609]: 05-08 01:41:35| 28   4  67   1   0|4963M  305M  205M 2364M| 364k  354k|   0   947k|   0   111 |3183  5584 |0.93 1.41 1.29|1.0   0 3.0|   0     0 |   0     0 | 25  314    0   21    3
Aug 05 01:41:36 ubuntu dstat.sh[106609]: 05-08 01:41:36| 30   4  65   1   0|4917M  351M  205M 2364M| 281k  272k|  76k 1285k|3.00   112 |3204  5468 |0.93 1.41 1.29|1.0   0  22|   0     0 |   0     0 | 25  312    0   22    3
Aug 05 01:41:37 ubuntu dstat.sh[106609]: 05-08 01:41:37| 25   4  66   4   0|4949M  319M  205M 2364M|  79k   68k|  88k 5991k|5.99   578 |3601  4037 |0.93 1.41 1.29|1.0   0   0|   0     0 |   0     0 | 25  316    0   24    3
Aug 05 01:41:38 ubuntu dstat.sh[106609]: 05-08 01:41:38| 17  13  69   0   0|4912M  355M  205M 2364M| 205k  196k|   0   489k|   0  27.0 |3391  5597 |0.93 1.40 1.29|2.0   0 226|   0     0 |   0     0 | 25  312    0   30    3
Aug 05 01:41:39 ubuntu dstat.sh[106609]: 05-08 01:41:39| 15  14  69   0   0|4924M  343M  205M 2364M|  27k 9134 |   0   519k|   0  40.0 |3413  5904 |0.93 1.40 1.29|1.0   0 287|   0     0 |   0     0 | 25  312    0   32    2
Aug 05 01:41:40 ubuntu dstat.sh[106609]: 05-08 01:41:40| 27   8  63   2   0|4971M  295M  205M 2365M|  10k 2951 | 176k  682k|14.0  35.1 |2345  3367 |0.93 1.40 1.29|1.0   0 6.0|   0     0 |   0     0 | 25  312    0   32    2
Aug 05 01:41:41 ubuntu dstat.sh[106609]: 05-08 01:41:41| 28   6  65   1   0|5015M  251M  205M 2365M|  20k   13k|  16k 2795k|2.99   162 |2839  4233 |0.93 1.40 1.29|1.0   0 1.0|   0     0 |   0     0 | 25  312    0   32    2
Aug 05 01:41:42 ubuntu dstat.sh[106609]: 05-08 01:41:42| 25   4  69   0   0|4973M  291M  205M 2367M|  21k   11k|   0  1060k|   0  48.0 |2416  3717 |0.93 1.40 1.29|1.0   0 3.0|   0     0 |   0     0 | 25  312    0   32    2
Aug 05 01:41:43 ubuntu dstat.sh[106609]: 05-08 01:41:43| 25   3  69   0   0|5018M  246M  205M 2367M|  26k   15k|   0   432k|   0  43.0 |2446  3744 |0.94 1.39 1.28|2.0   0 3.0|   0     0 |   0     0 | 25  312    0   32    2
Aug 05 01:41:44 ubuntu dstat.sh[106609]: 05-08 01:41:44| 26   5  65   2   0|5024M  239M  205M 2368M| 399k  391k|  20k 1086k|2.00   129 |5064  9203 |0.94 1.39 1.28|2.0   0   0|   0     0 |   0     0 | 25  314    0   33    2
Aug 05 01:41:45 ubuntu dstat.sh[106609]: 05-08 01:41:45| 28   3  59   6   0|5029M  234M  205M 2368M| 586k  567k|   0  7936k|   0   624 |5864    10k|0.94 1.39 1.28|1.0   0 1.0|   0     0 |   0     0 | 25  316    0   34    2
Aug 05 01:41:46 ubuntu dstat.sh[106609]: 05-08 01:41:46| 27   3  66   1   0|5036M  226M  205M 2368M| 560k  550k|   0  1713k|   0   164 |3708  6637 |0.94 1.39 1.28|1.0   0   0|   0     0 |   0     0 | 25  316    0   36    2
Aug 05 01:41:47 ubuntu dstat.sh[106609]: 05-08 01:41:47| 31   2  64   2   0|5042M  221M  206M 2368M| 555k  545k|   0  1228k|   0   137 |3799  6493 |0.94 1.39 1.28|2.0   0   0|   0     0 |   0     0 | 25  316    0   36    2
Aug 05 01:41:48 ubuntu dstat.sh[106609]: 05-08 01:41:48| 37   4  56   1   0|5045M  218M  206M 2368M| 802k  790k|   0  1784k|   0   177 |5083  9223 |1.10 1.42 1.29|2.0   0   0|   0     0 |   0     0 | 25  316    0   41    2
Aug 05 01:41:49 ubuntu dstat.sh[106609]: 05-08 01:41:49| 31   4  59   6   0|5051M  211M  206M 2368M| 549k  540k|  16k 9425k|1.00   714 |6318    10k|1.10 1.42 1.29|1.0   0   0|   0     0 |   0     0 | 25  316    0   42    2
Aug 05 01:41:50 ubuntu dstat.sh[106609]: 05-08 01:41:50| 34   5  57   1   0|5052M  209M  206M 2368M| 597k  584k|   0  1155k|   0   132 |4426  9864 |1.10 1.42 1.29|2.0   0  34|   0     0 |   0     0 | 25  317    0   44    2
Aug 05 01:41:51 ubuntu dstat.sh[106609]: 05-08 01:41:51| 31   3  63   1   0|5053M  209M  206M 2368M| 632k  621k|   0  1245k|   0   143 |4063  7016 |1.10 1.42 1.29|1.0   0   0|   0     0 |   0     0 | 25  316    0   44    2
Aug 05 01:41:52 ubuntu dstat.sh[106609]: 05-08 01:41:52| 33   2  61   1   0|5054M  207M  206M 2369M| 545k  532k|   0  1150k|   0   115 |3685  6230 |1.10 1.42 1.29|1.0   0   0|   0     0 |   0     0 | 25  316    0   46    2
Aug 05 01:41:53 ubuntu dstat.sh[106609]: 05-08 01:41:53| 28   3  68   0   0|5057M  204M  206M 2369M| 493k  485k|   0   878k|   0  79.9 |3665  6344 |1.09 1.41 1.29|1.0   0 2.0|   0     0 |   0     0 | 25  317    0   49    2
Aug 05 01:41:54 ubuntu dstat.sh[106609]: 05-08 01:41:54| 25   5  60   6   0|5074M  186M  206M 2370M| 470k  460k|1024k 2448k|63.0   205 |4644  7804 |1.09 1.41 1.29|1.0   0 7.0|   0     0 |   0     0 | 25  333    0   50    2
Aug 05 01:41:55 ubuntu dstat.sh[106609]: 05-08 01:41:55| 27   6  61   8   1|5093M  165M  207M 2371M| 326k  316k|1169k 3295k|61.1   328 |5204  8822 |1.09 1.41 1.29|3.0   0 3.0|   0     0 |   0     0 | 25  344    0   50    2
Aug 05 01:41:56 ubuntu dstat.sh[106609]: 05-08 01:41:56| 48  11  39   2   0|5111M  121M  207M 2396M|  66M   66M|4099B   18M|1.00   225 |5491    10k|1.09 1.41 1.29| 14   0 4.0|   0     0 |   0     0 | 25  347    0   56    1
Aug 05 01:41:57 ubuntu dstat.sh[106609]: 05-08 01:41:57| 38   8  39  14   0|5133M  121M  207M 2376M| 478k  469k|  37k   22M|9.01   595 |6076    11k|1.09 1.41 1.29|3.0   0  16|   0     0 |   0     0 | 25  347    0   56    1
Aug 05 01:41:58 ubuntu dstat.sh[106609]: 05-08 01:41:58| 51  10  35   3   0|5188M  156M  205M 2289M| 667k  646k| 375k 7059k|17.9   576 |5332  7673 |1.17 1.42 1.30|1.0 2.0 4.0|   0     0 |   0     0 | 25  350    0   56    1
Aug 05 01:41:59 ubuntu dstat.sh[106609]: 05-08 01:41:59| 38   7  47   7   0|5167M  178M  205M 2289M| 510k  491k|  56k   23M|6.01   479 |4325  6177 |1.17 1.42 1.30|1.0   0  16|   0     0 |   0     0 | 25  352    0   57    0
Aug 05 01:42:00 ubuntu dstat.sh[106609]: 05-08 01:42:00| 28   4  67   0   0|5209M  136M  205M 2289M| 126k  105k|   0   288k|   0  11.0 |2427  3451 |1.17 1.42 1.30|1.0   0 5.0|   0     0 |   0     0 | 25  352    0   51    0
Aug 05 01:42:01 ubuntu dstat.sh[106609]: 05-08 01:42:01| 27   6  63   3   0|5209M  176M  205M 2251M| 121k  111k| 124k  320k|14.0  23.0 |2324  3434 |1.17 1.42 1.30|3.0   0 3.0|   0     0 |   0     0 | 25  352    0   51    0
Aug 05 01:42:02 ubuntu dstat.sh[106609]: 05-08 01:42:02| 26   5  64   5   0|5218M  165M  205M 2252M| 160k  148k| 870k  606k|35.1  45.1 |2860  4350 |1.17 1.42 1.30|1.0   0  13|   0     0 |   0     0 | 25  352    0   52    0
Aug 05 01:42:03 ubuntu dstat.sh[106609]: 05-08 01:42:03| 45   9  40   6   0|5253M  121M  205M 2261M| 408k  398k|8923k 1018k| 106  94.8 |4776  7963 |1.31 1.45 1.31|4.0   0  27|   0     0 |   0     0 | 25  354    0   52    0
Aug 05 01:42:04 ubuntu dstat.sh[106609]: 05-08 01:42:04| 38  19  40   2   0|5275M  178M  203M 2187M| 120k  110k|2631k 3994k|56.1   526 |6641  8745 |1.31 1.45 1.31|6.0   0  10|   0     0 |   0     0 | 26  355    0   52    0
Aug 05 01:42:05 ubuntu dstat.sh[106609]: 05-08 01:42:05| 57   9  27   5   0|5332M  121M  203M 2187M| 476k  466k|  19M 1124k| 696   129 |8516    16k|1.31 1.45 1.31|2.0   0 2.0|   0     0 |   0     0 | 26  360    0   52    0
Aug 05 01:42:06 ubuntu dstat.sh[106609]: 05-08 01:42:06| 59  10  28   2   0|5434M  369M  201M 1854M| 130k  121k| 213k  722k|6.02  62.2 |3532  5281 |1.31 1.45 1.31|4.0   0 7.0|   0     0 |   0     0 | 26  363    0   51    0
Aug 05 01:42:07 ubuntu dstat.sh[106609]: 05-08 01:42:07| 70   8  15   6   0|5522M  279M  201M 1855M| 231k  221k| 918k 1544k|65.2   194 |5316  9169 |1.31 1.45 1.31|4.0   0 6.0|   0     0 |   0     0 | 26  368    0   52    0
Aug 05 01:42:08 ubuntu dstat.sh[106609]: 05-08 01:42:08| 56   7  37   0   0|5563M  238M  201M 1855M|  97k   88k|  32k 1256k|1.99   103 |3623  6232 |1.37 1.46 1.31|2.0   0 4.0|   0     0 |   0     0 | 26  369    0   46    0
Aug 05 01:42:09 ubuntu dstat.sh[106609]: 05-08 01:42:09| 56  12  29   3   0|5591M  210M  201M 1856M| 298k  289k| 405k 1098k|26.1   122 |4641  7918 |1.37 1.46 1.31|6.0   0  23|   0     0 |   0     0 | 26  370    0   47    0
Aug 05 01:42:10 ubuntu dstat.sh[106609]: 05-08 01:42:10| 57  11  29   2   0|5484M  316M  201M 1856M| 391k  378k| 316k 4681k|17.0   317 |5946    10k|1.37 1.46 1.31|4.0   0  41|   0     0 |   0     0 | 25  370    0   47    0
Aug 05 01:42:11 ubuntu dstat.sh[106609]: 05-08 01:42:11| 45  14  37   2   0|5487M  312M  202M 1856M| 809k  798k| 180k 2520k|16.0   190 |5800    10k|1.37 1.46 1.31|3.0   0  52|   0     0 |   0     0 | 25  370    0   48    0
Aug 05 01:42:12 ubuntu dstat.sh[106609]: 05-08 01:42:12| 31   3  53  12   0|5488M  309M  202M 1857M| 616k  601k| 724k 1829k|30.0   222 |5282  8869 |1.37 1.46 1.31|4.0   0 1.0|   0     0 |   0     0 | 25  371    0   48    0
Aug 05 01:42:13 ubuntu dstat.sh[106609]: 05-08 01:42:13| 29   3  65   2   0|5494M  303M  202M 1857M| 475k  466k|  48k 2999k|3.00   233 |4012  6744 |1.34 1.45 1.31|1.0   0 3.0|   0     0 |   0     0 | 25  373    0   48    0
Aug 05 01:42:14 ubuntu dstat.sh[106609]: 05-08 01:42:14| 26   4  64   5   0|5496M  301M  202M 1858M| 449k  441k| 400k 3451k|20.0   284 |4245  6960 |1.34 1.45 1.31|2.0   0 1.0|   0     0 |   0     0 | 25  373    0   51    0
Aug 05 01:42:15 ubuntu dstat.sh[106609]: 05-08 01:42:15| 27   4  64   4   0|5488M  308M  203M 1858M| 325k  316k| 552k 1471k|31.0   154 |3831  6232 |1.34 1.45 1.31|1.0   0   0|   0     0 |   0     0 | 25  373    0   52    0
Aug 05 01:42:16 ubuntu dstat.sh[106609]: 05-08 01:42:16| 29   3  63   4   0|5490M  305M  203M 1859M| 565k  555k| 748k 4799k|32.0   345 |4498  7429 |1.34 1.45 1.31|3.0   0   0|   0     0 |   0     0 | 25  373    0   54    0
Aug 05 01:42:17 ubuntu dstat.sh[106609]: 05-08 01:42:17| 30   4  64   2   1|5492M  302M  203M 1859M| 383k  365k|  16k 2537k|1.00   182 |3729  6022 |1.34 1.45 1.31|2.0   0 1.0|   0     0 |   0     0 | 25  373    0   57    0
Aug 05 01:42:18 ubuntu dstat.sh[106609]: 05-08 01:42:18| 28   4  64   2   0|5493M  301M  203M 1860M| 460k  451k|  16k 2732k|1.00   265 |4847  8446 |1.31 1.44 1.31|1.0   0 1.0|   0     0 |   0     0 | 25  376    0   59    0
Aug 05 01:42:19 ubuntu dstat.sh[106609]: 05-08 01:42:19| 29   5  63   4   0|5492M  301M  203M 1860M| 486k  476k| 128k 3997k|5.01   352 |5254  9401 |1.31 1.44 1.31|2.0   0 1.0|   0     0 |   0     0 | 25  376    0   64    0
Aug 05 01:42:20 ubuntu dstat.sh[106609]: 05-08 01:42:20| 27   3  65   2   0|5493M  301M  204M 1860M| 520k  510k|  16k 2290k|1.00   228 |5787    11k|1.31 1.44 1.31|  0 1.0   0|   0     0 |   0     0 | 25  377    0   65    0
Aug 05 01:42:21 ubuntu dstat.sh[106609]: 05-08 01:42:21| 29   3  63   3   0|5494M  299M  204M 1860M| 507k  497k|  48k 3245k|2.00   292 |4719  8122 |1.31 1.44 1.31|3.0   0   0|   0     0 |   0     0 | 25  377    0   66    0
Aug 05 01:42:22 ubuntu dstat.sh[106609]: 05-08 01:42:22| 31   3  61   3   0|5496M  296M  204M 1860M| 563k  554k|   0  7258k|   0   524 |5070  8769 |1.31 1.44 1.31|  0   0   0|   0     0 |   0     0 | 25  377    0   68    0
Aug 05 01:42:23 ubuntu dstat.sh[106609]: 05-08 01:42:23| 30   3  63   1   0|5496M  296M  204M 1860M| 673k  665k|   0  1387k|   0   163 |4211  7168 |1.37 1.45 1.31|2.0   0 2.0|   0     0 |   0     0 | 25  377    0   68    0
Aug 05 01:42:24 ubuntu dstat.sh[106609]: 05-08 01:42:24| 31   3  66   1   0|5497M  295M  204M 1861M| 519k  508k|   0   950k|   0  84.2 |3652  6208 |1.37 1.45 1.31|1.0   0   0|   0     0 |   0     0 | 25  379    0   70    0
Aug 05 01:42:25 ubuntu dstat.sh[106609]: 05-08 01:42:25| 29   4  64   2   0|5510M  282M  204M 1861M| 500k  492k|  16k 1987k|1.00   169 |4084  6836 |1.37 1.45 1.31|2.0   0 6.0|   0     0 |   0     0 | 25  389    0   72    0
Aug 05 01:42:26 ubuntu dstat.sh[106609]: 05-08 01:42:26| 33   4  57   4   0|5523M  268M  205M 1861M| 694k  684k|   0  3824k|   0   371 |6154    11k|1.37 1.45 1.31|2.0 1.0 2.0|   0     0 |   0     0 | 25  396    0   72    0
Aug 05 01:42:27 ubuntu dstat.sh[106609]: 05-08 01:42:27| 41   7  48   4   0|5525M  266M  205M 1861M| 739k  729k|4103B 8439k|1.00   611 |6436    11k|1.37 1.45 1.31|2.0   0  15|   0     0 |   0     0 | 25  396    0   72    0
Aug 05 01:42:28 ubuntu dstat.sh[106609]: 05-08 01:42:28| 35   5  58   1   0|5533M  257M  205M 1862M| 731k  723k|   0   781k|   0  70.7 |4123  7060 |1.34 1.44 1.31|6.0   0 6.0|   0     0 |   0     0 | 25  397    0   72    0
Aug 05 01:42:29 ubuntu dstat.sh[106609]: 05-08 01:42:29| 33   7  59   1   0|5538M  252M  205M 1862M| 223k  214k|   0  1105k|   0  64.3 |3071  4934 |1.34 1.44 1.31|3.0   0  28|   0     0 |   0     0 | 25  396    0   72    0
