-- Logs begin at Tue 2023-01-10 23:34:18 UTC, end at Wed 2023-01-11 20:21:55 UTC. --
Jan 11 19:41:29 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jan 11 19:41:29 ubuntu dstat.sh[90415]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jan 11 19:41:29 ubuntu dstat.sh[90415]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jan 11 20:13:19 ubuntu dstat.sh[90415]: 11-01 20:13:19| 20   2  74   2   0|6367M  970M   67M  549M| 324k  314k|   0  1350k|   0   170 |4080  7104 |0.95 1.40 1.47|1.0   0   0|   0     0 |   0     0 | 25  426    0  106   11
Jan 11 20:13:20 ubuntu dstat.sh[90415]: 11-01 20:13:20| 12   3  83   1   0|6364M  973M   67M  549M| 223k  215k|   0   941k|   0   113 |3259  5466 |0.95 1.40 1.47|  0   0   0|   0     0 |   0     0 | 25  427    0  106   11
Jan 11 20:13:21 ubuntu dstat.sh[90415]: 11-01 20:13:21| 13   3  81   1   1|6364M  973M   67M  549M| 231k  208k|   0   901k|   0   119 |3541  5760 |0.95 1.40 1.47|  0   0 2.0|   0     0 |   0     0 | 25  427    0  105   11
Jan 11 20:13:22 ubuntu dstat.sh[90415]: 11-01 20:13:22| 14   3  82   1   0|6364M  973M   67M  549M| 169k  155k|   0   592k|   0  71.0 |3242  5422 |0.95 1.40 1.47|1.0   0   0|   0     0 |   0     0 | 25  427    0  105   11
Jan 11 20:13:23 ubuntu dstat.sh[90415]: 11-01 20:13:23| 28   4  64   1   0|6363M  973M   68M  549M| 548k  541k|   0  1500k|   0   179 |5299  9650 |0.95 1.40 1.47|2.0   0   0|   0     0 |   0     0 | 25  427    0  103   11
Jan 11 20:13:24 ubuntu dstat.sh[90415]: 11-01 20:13:24| 30   4  63   2   0|6363M  973M   68M  549M| 516k  510k|   0  1579k|   0   197 |5309  9746 |0.95 1.40 1.47|4.0   0   0|   0     0 |   0     0 | 25  428    0  108   11
Jan 11 20:13:25 ubuntu dstat.sh[90415]: 11-01 20:13:25| 28   4  66   2   0|6362M  973M   68M  550M| 533k  524k|   0  1329k|   0   142 |5274  9794 |0.95 1.40 1.47|1.0   0   0|   0     0 |   0     0 | 25  427    0   98   11
Jan 11 20:13:26 ubuntu dstat.sh[90415]: 11-01 20:13:26| 12   2  83   2   0|6362M  973M   68M  550M| 214k  208k|   0  1233k|   0   160 |3423  5972 |0.95 1.40 1.47|  0   0   0|   0     0 |   0     0 | 25  426    0   99   11
Jan 11 20:13:27 ubuntu dstat.sh[90415]: 11-01 20:13:27| 16   3  78   2   0|6363M  973M   68M  550M| 349k  342k|   0  1334k|   0   153 |3828  6517 |0.95 1.40 1.47|  0   0   0|   0     0 |   0     0 | 25  426    0   78   11
Jan 11 20:13:28 ubuntu dstat.sh[90415]: 11-01 20:13:28| 14   1  80   2   0|6362M  973M   68M  550M| 305k  299k|   0  1084k|   0   114 |3228  5472 |1.04 1.41 1.47|3.0   0   0|   0     0 |   0     0 | 25  426    0   79   11
Jan 11 20:13:29 ubuntu dstat.sh[90415]: 11-01 20:13:29|  9   2  88   1   0|6362M  973M   68M  551M| 126k  118k|  32k  672k|3.00  65.0 |2779  4602 |1.04 1.41 1.47|2.0   0   0|   0     0 |   0     0 | 25  427    0   78   11
Jan 11 20:13:30 ubuntu dstat.sh[90415]: 11-01 20:13:30| 27   3  69   0   0|6365M  969M   68M  551M| 522k  506k|   0   220k|   0  13.0 |2771  4309 |1.04 1.41 1.47|3.0   0   0|   0     0 |   0     0 | 25  427    0   80   11
Jan 11 20:13:31 ubuntu dstat.sh[90415]: 11-01 20:13:31| 29   3  66   0   0|6372M  962M   68M  551M| 618k  595k|   0   544k|   0  50.0 |3452  5617 |1.04 1.41 1.47|3.0 1.0 2.0|   0     0 |   0     0 | 25  427    0   81   11
Jan 11 20:13:32 ubuntu dstat.sh[90415]: 11-01 20:13:32|  8   2  85   2   0|6372M  962M   68M  551M| 109k   95k|4088B  794k|1.00  80.8 |2935  5010 |1.04 1.41 1.47|1.0   0   0|   0     0 |   0     0 | 25  426    0   79   11
Jan 11 20:13:33 ubuntu dstat.sh[90415]: 11-01 20:13:33| 14   3  79   3   0|6372M  962M   68M  551M| 229k  212k|   0  1102k|   0   149 |3797  6597 |0.95 1.38 1.47|  0   0   0|   0     0 |   0     0 | 25  426    0   79   11
Jan 11 20:13:34 ubuntu dstat.sh[90415]: 11-01 20:13:34| 15   2  77   3   0|6372M  962M   68M  551M| 233k  217k|  48k 8492k|6.00   775 |5177  6959 |0.95 1.38 1.47|  0   0   0|   0     0 |   0     0 | 25  426    0   77   11
Jan 11 20:13:35 ubuntu dstat.sh[90415]: 11-01 20:13:35| 19   3  75   1   0|6372M  961M   68M  552M| 369k  361k|   0   934k|   0  97.8 |3772  6663 |0.95 1.38 1.47|2.0   0   0|   0     0 |   0     0 | 25  428    0   78   11
Jan 11 20:13:36 ubuntu dstat.sh[90415]: 11-01 20:13:36| 27   3  66   2   0|6373M  960M   68M  552M| 508k  502k|   0  1504k|   0   188 |5044  9779 |0.95 1.38 1.47|  0 1.0   0|   0     0 |   0     0 | 25  427    0   79   11
Jan 11 20:13:37 ubuntu dstat.sh[90415]: 11-01 20:13:37| 16   4  74   4   0|6373M  960M   69M  552M| 227k  220k|  64k 2105k|16.0   237 |4409  7484 |0.95 1.38 1.47|  0   0   0|   0     0 |   0     0 | 25  426    0   80   11
Jan 11 20:13:38 ubuntu dstat.sh[90415]: 11-01 20:13:38| 25   3  68   2   0|6374M  959M   69M  552M| 445k  438k|   0  1255k|   0   136 |3906  6594 |1.12 1.41 1.47|  0 1.0   0|   0     0 |   0     0 | 25  427    0   86   11
Jan 11 20:13:39 ubuntu dstat.sh[90415]: 11-01 20:13:39| 36   5  55   4   0|6376M  957M   69M  553M| 693k  687k|   0  3305k|   0   301 |5733  9816 |1.12 1.41 1.47|2.0   0 6.0|   0     0 |   0     0 | 25  426    0   87   11
Jan 11 20:13:40 ubuntu dstat.sh[90415]: 11-01 20:13:40| 34   4  56   3   0|6376M  955M   69M  553M| 604k  599k|4092B 1878k|1.00   192 |4483  7708 |1.12 1.41 1.47|1.0   0 9.0|   0     0 |   0     0 | 25  427    0   86   11
Jan 11 20:13:41 ubuntu dstat.sh[90415]: 11-01 20:13:41| 37   4  58   1   0|6390M  941M   69M  554M| 612k  606k|   0  1362k|   0   140 |4650  7851 |1.12 1.41 1.47|3.0   0 5.0|   0     0 |   0     0 | 25  426    0   86   11
Jan 11 20:13:42 ubuntu dstat.sh[90415]: 11-01 20:13:42| 45   6  48   0   0|6393M  938M   69M  554M| 360k  347k|   0   716k|   0  38.6 |3249  4746 |1.12 1.41 1.47|9.0   0  25|   0     0 |   0     0 | 25  426    0   85   11
Jan 11 20:13:43 ubuntu dstat.sh[90415]: 11-01 20:13:43| 43  24  28   5   0|6410M  917M   69M  557M| 434k  428k|3316k 1286k|85.0   117 |7216    12k|1.19 1.42 1.48|2.0   0  53|   0     0 |   0     0 | 26  426    0   85   11
Jan 11 20:13:44 ubuntu dstat.sh[90415]: 11-01 20:13:44| 38   6  46   7   0|6425M  902M   69M  558M| 438k  430k|8282k 3346k| 301   331 |7330    12k|1.19 1.42 1.48|2.0 1.0   0|   0     0 |   0     0 | 26  427    0   83   11
Jan 11 20:13:45 ubuntu dstat.sh[90415]: 11-01 20:13:45| 43   8  43   4   0|6401M  925M   69M  558M| 768k  762k|4142k 1763k| 161   166 |6395    11k|1.19 1.42 1.48|1.0   0  49|   0     0 |   0     0 | 25  426    0   84   11
Jan 11 20:13:46 ubuntu dstat.sh[90415]: 11-01 20:13:46| 22   4  69   3   0|6401M  926M   69M  558M| 390k  384k|   0  1720k|   0   202 |4486  7592 |1.19 1.42 1.48|1.0   0   0|   0     0 |   0     0 | 25  426    0   83    9
Jan 11 20:13:47 ubuntu dstat.sh[90415]: 11-01 20:13:47| 20   3  78   0   1|6401M  925M   69M  558M| 298k  293k|   0   320k|   0  17.0 |3171  5733 |1.19 1.42 1.48|1.0   0   0|   0     0 |   0     0 | 25  430    0   83    9
Jan 11 20:13:48 ubuntu dstat.sh[90415]: 11-01 20:13:48| 33   6  57   5   0|6431M  895M   69M  558M| 484k  480k|   0  6742k|   0   714 |6181  9204 |1.17 1.41 1.47|4.0   0 3.0|   0     0 |   0     0 | 25  431    0   83    9
Jan 11 20:13:49 ubuntu dstat.sh[90415]: 11-01 20:13:49| 26   5  65   2   0|6382M  944M   69M  558M| 470k  465k|  12k  938k|2.99   108 |4486  8450 |1.17 1.41 1.47|2.0   0 1.0|   0     0 |   0     0 | 25  433    0   95    9
Jan 11 20:13:50 ubuntu dstat.sh[90415]: 11-01 20:13:50| 28   3  66   1   0|6382M  943M   69M  559M| 565k  558k|  64k  749k|4.01  82.1 |4833  8854 |1.17 1.41 1.47|1.0   0 1.0|   0     0 |   0     0 | 25  434    0  110    9
Jan 11 20:13:51 ubuntu dstat.sh[90415]: 11-01 20:13:51| 27   4  66   1   0|6382M  943M   69M  559M| 521k  515k|   0   612k|   0  62.0 |4608  9057 |1.17 1.41 1.47|1.0   0 2.0|   0     0 |   0     0 | 25  433    0  112    9
Jan 11 20:13:52 ubuntu dstat.sh[90415]: 11-01 20:13:52| 27   4  65   2   0|6382M  942M   70M  559M| 621k  615k|  80k  827k|11.0   106 |4864  8986 |1.17 1.41 1.47|2.0   0   0|   0     0 |   0     0 | 25  432    0  131    9
Jan 11 20:13:53 ubuntu dstat.sh[90415]: 11-01 20:13:53| 30   2  66   1   0|6383M  941M   70M  560M| 299k  286k|   0   636k|   0  66.0 |3237  5307 |1.32 1.44 1.48|2.0   0   0|   0     0 |   0     0 | 25  432    0  133    9
Jan 11 20:13:54 ubuntu dstat.sh[90415]: 11-01 20:13:54| 23   3  70   2   0|6383M  941M   70M  560M| 391k  377k|   0  1243k|   0   162 |4306  7274 |1.32 1.44 1.48|  0   0   0|   0     0 |   0     0 | 25  431    0  133    9
Jan 11 20:13:55 ubuntu dstat.sh[90415]: 11-01 20:13:55| 17   2  79   1   1|6383M  941M   70M  560M| 267k  262k|  16k  632k|1.00  65.0 |3593  6569 |1.32 1.44 1.48|1.0   0   0|   0     0 |   0     0 | 25  433    0  134    9
Jan 11 20:13:56 ubuntu dstat.sh[90415]: 11-01 20:13:56| 28   4  64   3   0|6383M  940M   70M  560M| 492k  485k|   0  1482k|   0   183 |5318  9967 |1.32 1.44 1.48|2.0   0   0|   0     0 |   0     0 | 25  433    0  136    9
Jan 11 20:13:57 ubuntu dstat.sh[90415]: 11-01 20:13:57| 29   3  62   5   0|6384M  939M   70M  560M| 468k  462k|   0  1859k|   0   265 |4943  8812 |1.32 1.44 1.48|2.0   0   0|   0     0 |   0     0 | 25  432    0  138    9
Jan 11 20:13:58 ubuntu dstat.sh[90415]: 11-01 20:13:58| 22   2  71   4   0|6384M  939M   70M  560M| 398k  392k|   0  1160k|   0   153 |4276  7798 |1.21 1.42 1.47|1.0   0   0|   0     0 |   0     0 | 25  431    0  137    9
Jan 11 20:13:59 ubuntu dstat.sh[90415]: 11-01 20:13:59| 12   2  82   2   0|6384M  939M   70M  561M| 245k  237k|   0  1003k|   0   152 |3319  5863 |1.21 1.42 1.47|1.0   0   0|   0     0 |   0     0 | 25  431    0  137    9
Jan 11 20:14:00 ubuntu dstat.sh[90415]: 11-01 20:14:00|  9   2  87   2   0|6384M  939M   70M  561M| 129k  121k|   0   889k|   0  81.1 |2700  4456 |1.21 1.42 1.47|1.0   0   0|   0     0 |   0     0 | 25  432    0  134    9
Jan 11 20:14:01 ubuntu dstat.sh[90415]: 11-01 20:14:01| 18   3  71   3   1|6385M  937M   70M  561M| 310k  290k| 288k 1039k|8.99   139 |4093  6491 |1.21 1.42 1.47|  0   0 9.0|   0     0 |   0     0 | 25  430    0  135    9
Jan 11 20:14:02 ubuntu dstat.sh[90415]: 11-01 20:14:02| 12   2  83   1   0|6386M  935M   70M  561M|  90k   68k|4094B  788k|1.00  53.0 |2822  4035 |1.21 1.42 1.47|  0   0 4.0|   0     0 |   0     0 | 25  429    0  135    9
Jan 11 20:14:03 ubuntu dstat.sh[90415]: 11-01 20:14:03|  6   3  88   0   0|6386M  936M   70M  561M|  37k   27k|   0   467k|   0  41.9 |2675  4402 |1.12 1.39 1.47|1.0   0 8.0|   0     0 |   0     0 | 25  432    0  135    9
Jan 11 20:14:04 ubuntu dstat.sh[90415]: 11-01 20:14:04| 11   6  81   2   0|6392M  930M   70M  562M|1184k   77k|   0   609k|52.1  71.1 |4336  6064 |1.12 1.39 1.47|  0   0  44|   0     0 |   0     0 | 25  432    0  123    9
Jan 11 20:14:05 ubuntu dstat.sh[90415]: 11-01 20:14:05|  9   3  86   2   0|6401M  920M   71M  561M|  24k   18k|   0  7179k|   0   615 |2871  3620 |1.12 1.39 1.47|1.0   0 2.0|   0     0 |   0     0 | 25  432    0  123    9
Jan 11 20:14:06 ubuntu dstat.sh[90415]: 11-01 20:14:06| 25   6  69   0   0|6392M  930M   71M  562M| 106k   91k|   0   453k|   0  40.1 |2551  4081 |1.12 1.39 1.47|1.0   0 2.0|   0     0 |   0     0 | 25  435    0  111    9
Jan 11 20:14:07 ubuntu dstat.sh[90415]: 11-01 20:14:07| 21   5  62  11   0|6442M  828M  122M  562M|  56M 1007k|  51M 1904k|72.0   247 |  27k 7311 |1.12 1.39 1.47|2.0   0   0|   0     0 |   0     0 | 25  434    0  115    9
Jan 11 20:14:08 ubuntu dstat.sh[90415]: 11-01 20:14:08| 21   5  63   8   1|6484M  735M  172M  562M|  52M 1073k|  47M  544k|40.0  48.0 |  25k 4053 |1.11 1.39 1.46|1.0 1.0   0|   0     0 |   0     0 | 25  434    0  118    9
Jan 11 20:14:09 ubuntu dstat.sh[90415]: 11-01 20:14:09| 23   3  68   5   0|6460M  734M  197M  562M|  28M  587k|  25M  481k|24.0  40.1 |  13k 3960 |1.11 1.39 1.46|  0 1.0   0|   0     0 |   0     0 | 25  434    0  120    9
Jan 11 20:14:10 ubuntu dstat.sh[90415]: 11-01 20:14:10| 21   3  65   6   0|6444M  715M  232M  562M|  38M  771k|  35M 1746k|31.0  45.9 |  17k 3646 |1.11 1.39 1.46|  0 1.0   0|   0     0 |   0     0 | 25  434    0  122    9
Jan 11 20:14:11 ubuntu dstat.sh[90415]: 11-01 20:14:11| 21   3  66   7   0|6436M  683M  272M  562M|  45M  848k|  43M  496k|37.0  40.0 |  19k 3939 |1.11 1.39 1.46|1.0   0 2.0|   0     0 |   0     0 | 25  434    0  124    9
Jan 11 20:14:12 ubuntu dstat.sh[90415]: 11-01 20:14:12| 17   3  65  10   0|6436M  633M  322M  562M|  54M  906k|  50M  344k|41.0  25.0 |  22k 3457 |1.11 1.39 1.46|1.0   0 1.0|   0     0 |   0     0 | 25  434    0  122    9
Jan 11 20:14:13 ubuntu dstat.sh[90415]: 11-01 20:14:13| 24   6  58   8   0|6440M  579M  372M  563M|  55M 1194k|  50M  772k|45.0  76.0 |  25k 7736 |1.10 1.38 1.46|1.0   0   0|   0     0 |   0     0 | 25  436    0  124    9
Jan 11 20:14:14 ubuntu dstat.sh[90415]: 11-01 20:14:14| 22   3  63   7   0|6478M  501M  412M  563M|  41M  947k|  38M  592k|34.0  67.0 |  22k 4553 |1.10 1.38 1.46|  0 1.0   0|   0     0 |   0     0 | 25  436    0  126    9
Jan 11 20:14:15 ubuntu dstat.sh[90415]: 11-01 20:14:15| 25   3  65   5   0|6456M  494M  441M  563M|  32M  800k|  29M 1576k|25.9   174 |  15k 3957 |1.10 1.38 1.46|5.0 1.0   0|   0     0 |   0     0 | 25  436    0  128    9
Jan 11 20:14:16 ubuntu dstat.sh[90415]: 11-01 20:14:16| 27   5  60   7   1|6435M  483M  472M  563M|  36M  725k|  34M  719k|36.1  74.3 |  17k 3899 |1.10 1.38 1.46|1.0   0   0|   0     0 |   0     0 | 25  436    0  136    9
Jan 11 20:14:17 ubuntu dstat.sh[90415]: 11-01 20:14:17| 26   8  57   9   0|6434M  434M  522M  563M|  55M  975k|  50M  397k|40.1  32.1 |  27k 6299 |1.10 1.38 1.46|1.0   0  34|   0     0 |   0     0 | 25  436    0  132    9
Jan 11 20:14:18 ubuntu dstat.sh[90415]: 11-01 20:14:18| 17   3  65  10   0|6434M  383M  572M  563M|  55M 1117k|  50M  488k|44.0  41.0 |  26k 3830 |1.09 1.37 1.46|2.0   0   0|   0     0 |   0     0 | 25  436    0  134    9
Jan 11 20:14:19 ubuntu dstat.sh[90415]: 11-01 20:14:19| 20   3  64   9   0|6434M  334M  622M  563M|  55M 1124k|  50M  540k|43.0  57.0 |  28k 4517 |1.09 1.37 1.46|1.0   0   0|   0     0 |   0     0 | 25  436    0  134    9
Jan 11 20:14:20 ubuntu dstat.sh[90415]: 11-01 20:14:20| 21   2  68   5   0|6470M  259M  661M  563M|  40M  851k|  36M  400k|33.0  27.0 |  20k 3520 |1.09 1.37 1.46|  0 1.0   0|   0     0 |   0     0 | 25  436    0  136    9
Jan 11 20:14:21 ubuntu dstat.sh[90415]: 11-01 20:14:21| 22   2  67   7   0|6453M  243M  693M  563M|  35M  732k|  33M  420k|29.0  33.0 |  16k 3736 |1.09 1.37 1.46|  0 1.0 2.0|   0     0 |   0     0 | 25  436    0  137    9
Jan 11 20:14:22 ubuntu dstat.sh[90415]: 11-01 20:14:22| 23   3  67   6   0|6433M  233M  723M  563M|  33M  781k|  31M  320k|27.0  24.0 |  19k 3643 |1.09 1.37 1.46|1.0   0   0|   0     0 |   0     0 | 25  436    0  139    9
Jan 11 20:14:23 ubuntu dstat.sh[90415]: 11-01 20:14:23| 21   4  62   9   0|6433M  184M  772M  563M|  55M 1092k|  50M  528k|40.0  59.0 |  29k 4490 |1.08 1.37 1.45|1.0   0   0|   0     0 |   0     0 | 25  436    0  140    9
Jan 11 20:14:24 ubuntu dstat.sh[90415]: 11-01 20:14:24| 23   4  61   8   0|6436M  174M  788M  554M|  55M 1143k|  50M  727k|45.0  78.9 |  25k 5068 |1.08 1.37 1.45|1.0   0 2.0|   0     0 |   0     0 | 25  436    0  147    9
Jan 11 20:14:25 ubuntu dstat.sh[90415]: 11-01 20:14:25| 19   4  66   8   0|6436M  180M  792M  544M|  54M  842k|  50M  388k|42.0  29.0 |  26k 3677 |1.08 1.37 1.45|1.0   0   0|   0     0 |   0     0 | 25  436    0  140    9
Jan 11 20:14:26 ubuntu dstat.sh[90415]: 11-01 20:14:26| 22   4  65   6   0|6475M  128M  811M  539M|  45M  984k|  40M 1436k|36.0  58.0 |  28k 3548 |1.08 1.37 1.45|  0 1.0   0|   0     0 |   0     0 | 25  436    0  142    9
Jan 11 20:14:27 ubuntu dstat.sh[90415]: 11-01 20:14:27| 22   3  67   5   0|6464M  132M  824M  532M|  41M  669k|  39M  420k|34.0  36.0 |  20k 4061 |1.08 1.37 1.45|1.0   0   0|   0     0 |   0     0 | 25  436    0  143    9
Jan 11 20:14:28 ubuntu dstat.sh[90415]: 11-01 20:14:28| 22   4  67   4   0|6444M  166M  818M  524M|  31M  430k|  29M  415k|25.9  37.9 |  10k 3672 |1.16 1.38 1.46|1.0   0   0|   0     0 |   0     0 | 25  436    0  145    9
Jan 11 20:14:29 ubuntu dstat.sh[90415]: 11-01 20:14:29| 20   4  65   8   0|6433M  185M  820M  515M|  46M 1124k|  43M  482k|37.1  45.1 |  30k 4195 |1.16 1.38 1.46|1.0   0   0|   0     0 |   0     0 | 25  436    0  144    9
Jan 11 20:14:30 ubuntu dstat.sh[90415]: 11-01 20:14:30| 45  14  33   4   0|6438M  282M  745M  487M|  54M  838k|  50M 6526k|47.0   698 |  23k 4520 |1.16 1.38 1.46|2.0   0  27|   0     0 |   0     0 | 25  436    0  148    9
Jan 11 20:14:31 ubuntu dstat.sh[90415]: 11-01 20:14:31| 24   4  68   5   0|6394M  302M  768M  488M|  30M 5386k|  23M 2918k|45.0  69.0 |  12k 4233 |1.16 1.38 1.46|4.0   0 2.0|   0     0 |   0     0 | 25  438    0  150    9
Jan 11 20:14:32 ubuntu dstat.sh[90415]: 11-01 20:14:32| 20   5  69   4   0|6418M  980M   67M  489M|  37k   31k|1162k  335k|42.9  32.9 |2432  3874 |1.16 1.38 1.46|2.0   0 3.0|   0     0 |   0     0 | 25  437    0  153    9
Jan 11 20:14:33 ubuntu dstat.sh[90415]: 11-01 20:14:33| 17   5  74   2   0|6390M 1008M   67M  489M|  82k   67k| 128k  445k|      41.1 |3575  5717 |1.06 1.35 1.45|  0   0  25|   0     0 |   0     0 | 25  436    0  154    9
Jan 11 20:14:34 ubuntu dstat.sh[90415]: 11-01 20:14:34| 12   2  81   2   0|6390M 1008M   67M  490M| 171k  158k|  60k  690k|7.98  92.8 |3531  5859 |1.06 1.35 1.45|3.0   0   0|   0     0 |   0     0 | 25  435    0  154    9
Jan 11 20:14:35 ubuntu dstat.sh[90415]: 11-01 20:14:35| 22   6  65   6   0|6390M 1006M   67M  491M| 315k  301k| 600k 2076k| 110   242 |4947  9016 |1.06 1.35 1.45|1.0 1.0   0|   0     0 |   0     0 | 25  435    0  203    9
Jan 11 20:14:36 ubuntu dstat.sh[90415]: 11-01 20:14:36| 11   1  82   3   0|6389M 1007M   67M  491M| 162k  155k|  56k  808k|7.00  95.0 |3209  5530 |1.06 1.35 1.45|  0   0   0|   0     0 |   0     0 | 25  435    0  203    9
Jan 11 20:14:37 ubuntu dstat.sh[90415]: 11-01 20:14:37| 24   3  68   5   0|6389M 1007M   67M  492M| 469k  463k| 212k 1306k|21.0   183 |3870  7063 |1.06 1.35 1.45|1.0 3.0   0|   0     0 |   0     0 | 25  436    0  202    9
Jan 11 20:14:38 ubuntu dstat.sh[90415]: 11-01 20:14:38| 33   4  49  13   0|6388M 1007M   68M  492M| 631k  625k| 356k 3680k|79.1   641 |7567    14k|1.06 1.35 1.45|4.0   0   0|   0     0 |   0     0 | 25  436    0  203    9
Jan 11 20:14:39 ubuntu dstat.sh[90415]: 11-01 20:14:39| 38   7  49   5   0|6388M 1006M   68M  493M| 557k  550k| 116k 1663k|8.99   194 |4814  8064 |1.06 1.35 1.45|1.0   0  15|   0     0 |   0     0 | 25  435    0  196    9
Jan 11 20:14:40 ubuntu dstat.sh[90415]: 11-01 20:14:40| 33   5  59   2   0|6388M 1005M   68M  493M| 699k  692k|  68k  897k|5.00   107 |4162  6817 |1.06 1.35 1.45|3.0   0   0|   0     0 |   0     0 | 25  435    0  196    9
Jan 11 20:14:41 ubuntu dstat.sh[90415]: 11-01 20:14:41| 35   4  55   2   0|6394M  998M   68M  494M| 358k  352k|1040k  480k|39.0  31.0 |3160  4876 |1.06 1.35 1.45|1.0   0  15|   0     0 |   0     0 | 25  435    0  196    9
Jan 11 20:14:42 ubuntu dstat.sh[90415]: 11-01 20:14:42| 39   8  49   4   0|6404M  979M   68M  504M| 407k  402k|9971k  576k| 162  50.0 |4063  6544 |1.06 1.35 1.45|3.0 1.0  29|   0     0 |   0     0 | 25  435    0  196    9
Jan 11 20:14:43 ubuntu dstat.sh[90415]: 11-01 20:14:43| 22  12  62   2   0|6411M  970M   68M  505M| 127k  120k| 367k  615k|6.99  49.9 |5973  9422 |1.13 1.36 1.45|3.0   0 1.0|   0     0 |   0     0 | 26  435    0  196    9
Jan 11 20:14:44 ubuntu dstat.sh[90415]: 11-01 20:14:44| 42   5  41   9   0|6430M  951M   68M  505M| 496k  477k|  14M  764k| 532  99.0 |8229    14k|1.13 1.36 1.45|2.0   0   0|   0     0 |   0     0 | 26  439    0  198    9
Jan 11 20:14:45 ubuntu dstat.sh[90415]: 11-01 20:14:45| 49   9  39   4   0|6494M  870M   68M  522M|  33M   33M|5779k   16M| 191   135 |6616    11k|1.13 1.36 1.45|4.0   0 2.0|   0     0 |   0     0 | 26  435    0  218    9
Jan 11 20:14:46 ubuntu dstat.sh[90415]: 11-01 20:14:46| 52   9  39   0   0|6518M  846M   68M  522M|  94k   85k|4096B  496k|1.00  47.0 |3406  6104 |1.13 1.36 1.45|3.0   0 9.0|   0     0 |   0     0 | 26  435    0  226    9
Jan 11 20:14:47 ubuntu dstat.sh[90415]: 11-01 20:14:47| 50  13  40   0   0|6576M  788M   68M  522M|  47k   37k|   0   312k|   0  20.0 |3956  5863 |1.13 1.36 1.45|2.0   0 4.0|   0     0 |   0     0 | 26  435    0  221    9
Jan 11 20:14:48 ubuntu dstat.sh[90415]: 11-01 20:14:48| 39   4  54   1   0|6545M  819M   68M  522M| 124k  104k|   0   855k|   0   103 |4300  7064 |1.12 1.35 1.45|1.0   0 8.0|   0     0 |   0     0 | 26  436    0  221    9
Jan 11 20:14:49 ubuntu dstat.sh[90415]: 11-01 20:14:49| 37   3  56   0   0|6540M  824M   68M  522M|  79k   60k|   0   472k|   0  43.0 |3734  6639 |1.12 1.35 1.45|1.0   0 5.0|   0     0 |   0     0 | 26  435    0  212    9
Jan 11 20:14:50 ubuntu dstat.sh[90415]: 11-01 20:14:50| 29   3  66   0   0|6539M  824M   68M  522M|  56k   51k|   0   196k|   0  7.00 |3122  5295 |1.12 1.35 1.45|1.0   0 8.0|   0     0 |   0     0 | 26  436    0  212    9
Jan 11 20:14:51 ubuntu dstat.sh[90415]: 11-01 20:14:51| 33   6  56   3   0|6547M  814M   68M  524M|1142k   74k|1511k  322k|81.4  29.4 |6517  8029 |1.12 1.35 1.45|3.0   0  45|   0     0 |   0     0 | 26  436    0  190    9
Jan 11 20:14:52 ubuntu dstat.sh[90415]: 11-01 20:14:52| 36   4  59   0   1|6557M  805M   68M  524M| 115k   85k|  77k  175k|7.14  9.18 |2908  7996 |1.12 1.35 1.45|2.0   0 4.1|   0     0 |   0     0 | 26  434    0  194   11
Jan 11 20:14:53 ubuntu dstat.sh[90415]: 11-01 20:14:53| 51   6  41   0   0|6561M  801M   68M  524M|  55k   48k|  16k  300k|4.00  32.0 |5036  6032 |1.27 1.38 1.46|2.0   0 5.0|   0     0 |   0     0 | 26  434    0  170   11
Jan 11 20:14:54 ubuntu dstat.sh[90415]: 11-01 20:14:54| 51   7  38   2   0|6567M  795M   68M  524M|  73k   68k| 383k 1060k|30.0   138 |5759  6421 |1.27 1.38 1.46|9.0   0 7.0|   0     0 |   0     0 | 26  434    0  175   11
Jan 11 20:14:55 ubuntu dstat.sh[90415]: 11-01 20:14:55| 52   8  36   1   0|6579M  783M   68M  524M|1154k   61k|1290k  569k| 125  26.0 |4896  5990 |1.27 1.38 1.46|2.0   0  11|   0     0 |   0     0 | 26  434    0  169   11
Jan 11 20:14:56 ubuntu dstat.sh[90415]: 11-01 20:14:56| 46  12  33   9   0|6561M  799M   68M  525M|3973k   18M|3856k 1055M| 192   816 |  16k   13k|1.27 1.38 1.46|3.0   0  61|   0     0 |   0     0 | 26  434    0  169   11
Jan 11 20:14:57 ubuntu dstat.sh[90415]: 11-01 20:14:57| 46   7  43   2   0|6552M  808M   68M  525M|  59k   47k| 210k   18M|      9.01 |5392  8738 |1.27 1.38 1.46|2.0   0  53|   0     0 |   0     0 | 26  434    0  170   11
Jan 11 20:14:58 ubuntu dstat.sh[90415]: 11-01 20:14:58| 34   2  59   2   0|6553M  822M   68M  510M| 100k   88k| 184k 1037k|29.0   140 |3927  6856 |1.25 1.37 1.45|3.0   0   0|   0     0 |   0     0 | 26  434    0  166   11
